"";"Start";"End";"Pitch";"Velocity";"Instrument"
0;"0.000";"1.000";"62.000";"0.709";"Piano"
1;"1.000";"1.000";"62.000";"0.709";"Piano"
2;"2.000";"1.000";"69.000";"0.709";"Piano"
3;"3.000";"1.000";"69.000";"0.709";"Piano"
4;"4.000";"1.000";"71.000";"0.709";"Piano"
5;"5.000";"1.000";"71.000";"0.709";"Piano"
6;"6.000";"2.000";"69.000";"0.709";"Piano"
7;"8.000";"1.000";"67.000";"0.709";"Piano"
8;"9.000";"1.000";"67.000";"0.709";"Piano"
9;"10.000";"1.000";"66.000";"0.709";"Piano"
10;"11.000";"1.000";"66.000";"0.709";"Piano"
11;"12.000";"1.000";"64.000";"0.709";"Piano"
12;"13.000";"1.000";"64.000";"0.709";"Piano"
13;"14.000";"2.000";"62.000";"0.709";"Piano"
